,083,008,043-1,009,003,007,005,014,006,001,002,500,024,025,039,301,038,032,034,302,026,056,010-1,058,044-1,035,049,055,220,011,016,016-1,084,015,057,057-1,064,010,201,200,222,071-1,074,051,054,033,013,004,101,085,082,152-1,012,#001,,015-1,059,017,019,203,500-B,025-1,105-2,022,500-C,500-A,086,021,143,029,#017-,142,#017,031,030,036,037,018,075-1,081,085-1,050,052-2,207,073,053,153,#012,#022,#020,#021,140-1,140,140-2,221,*100,500-D,#013,*102,942
002,10.72,2.95,9.06,4.59,2.72,5.88,4.62,6.5,5.77,3.35,2.0,8.65,7.47,9.41,11.37,19.89,11.98,10.36,10.07,21.93,6.86,7.77,6.23,16.87,11.19,9.59,12.52,7.84,12.57,4.58,10.31,9.49,11.33,11.33,15.69,15.38,13.84,5.86,12.08,9.98,13.12,20.51,7.51,11.72,6.96,10.15,4.21,2.72,10.12,23.03,9.63,18.42,4.3,42.69,3.35,11.33,16.01,10.21,9.2,9.84,8.65,8.65,16.96,7.08,8.65,8.65,25.45,5.34,10.86,16.72,42.69,11.62,42.69,13.06,8.6,11.3,12.79,9.2,9.2,23.03,23.03,9.53,11.5,16.35,7.16,10.31,18.27,42.69,42.69,42.69,42.69,13.36,15.84,15.84,15.84,43.66,8.65,42.69,43.66,25.0
500,15.66,12.35,9.74,14.67,12.22,14.67,13.52,15.27,14.54,10.24,11.98,2.0,6.51,6.95,11.91,20.58,12.52,10.9,10.76,22.61,6.21,8.46,17.11,21.58,11.88,10.4,17.67,12.78,17.71,14.64,12.93,12.88,14.71,14.71,20.83,20.53,13.43,16.56,10.79,8.69,18.26,25.23,13.67,16.67,14.23,10.69,9.2,12.22,12.74,29.39,17.33,23.13,14.22,51.46,10.24,14.71,21.15,13.81,10.01,7.38,2.0,2.0,17.64,7.62,2.0,2.0,28.28,9.05,11.66,17.53,51.46,12.43,51.46,11.77,9.14,11.84,11.5,10.01,10.01,29.39,29.39,14.47,16.44,21.49,7.86,15.25,22.99,51.46,51.46,51.46,51.46,18.51,20.98,20.98,20.98,52.43,2.0,51.46,52.43,33.77
024,13.93,10.58,7.65,12.77,10.49,12.77,11.77,13.54,12.81,8.51,10.2,5.01,2.0,3.94,9.69,18.49,9.81,8.44,8.67,20.52,3.2,6.64,15.38,20.08,9.79,8.64,15.94,11.05,15.98,12.74,13.4,12.7,14.54,14.54,19.1,18.8,13.9,14.83,7.78,5.68,16.53,23.73,11.94,14.94,12.5,8.47,7.93,10.49,13.21,27.89,15.6,21.63,12.32,49.73,8.51,14.54,19.42,13.42,8.25,4.37,5.01,5.01,15.55,5.4,5.01,5.01,28.67,7.29,9.9,15.76,49.73,10.67,49.73,8.76,6.92,9.62,8.49,8.25,8.25,27.89,27.89,12.74,14.71,19.76,8.33,13.52,21.49,49.73,49.73,49.73,49.73,16.78,19.25,19.25,19.25,50.7,5.01,49.73,50.7,32.04
025,16.85,12.97,7.86,14.9,13.41,14.9,14.16,16.04,15.31,11.43,13.12,9.42,4.91,2.0,8.94,18.19,8.49,7.9,8.87,20.22,5.94,7.67,17.51,23.0,9.88,9.91,18.85,13.97,18.9,14.87,16.31,15.62,17.45,17.45,22.01,21.71,16.26,16.96,6.47,4.37,19.45,26.64,14.86,17.85,15.41,8.68,13.03,13.41,16.13,30.81,18.51,24.54,14.45,52.23,11.43,17.45,22.34,16.34,9.52,3.06,9.42,9.42,15.26,6.83,9.42,9.42,31.11,12.06,11.18,17.04,52.23,11.94,52.23,7.45,7.13,9.07,7.18,9.52,9.52,30.81,30.81,15.65,17.63,22.68,11.25,16.44,24.4,52.23,52.23,52.23,52.23,19.69,22.17,22.17,22.17,53.2,9.42,52.23,53.2,34.54
039,23.33,15.8,6.62,16.44,16.49,16.44,16.99,17.66,18.14,15.66,16.05,16.86,13.54,12.41,2.0,11.64,2.71,10.88,5.1,13.67,11.73,7.93,18.31,29.48,3.41,6.07,25.33,20.45,25.38,15.99,22.91,22.1,23.93,23.93,28.5,28.19,23.5,18.5,8.06,8.86,25.93,33.12,20.81,24.33,20.25,4.12,14.56,16.49,22.73,35.56,22.15,31.03,15.57,53.98,15.66,23.93,28.82,22.82,7.96,10.82,16.86,16.86,8.7,8.43,16.86,16.86,38.06,12.45,10.67,18.45,53.98,11.59,53.98,6.95,6.15,2.34,4.64,7.96,7.96,35.56,35.56,22.13,24.11,29.16,17.86,22.92,30.88,53.98,53.98,53.98,53.98,26.17,28.65,28.65,28.65,54.95,16.86,53.98,54.95,36.28
301,36.33,28.58,18.25,28.69,29.28,28.69,29.77,29.91,30.63,28.44,28.84,29.87,26.73,26.29,16.46,2.0,17.52,24.07,16.73,4.03,24.93,20.18,29.95,42.48,15.05,17.7,38.34,33.45,38.38,27.81,35.92,35.1,36.94,36.94,41.5,41.2,37.26,30.49,21.94,22.74,38.93,46.13,33.59,37.34,33.03,18.57,26.81,29.28,35.73,46.09,32.69,44.03,27.39,62.35,28.44,36.94,41.82,35.82,19.59,24.7,29.87,29.87,12.13,21.63,29.87,29.87,51.07,24.08,22.3,18.53,62.35,18.68,62.35,21.41,19.35,16.8,19.1,19.59,19.59,46.09,46.09,35.14,37.12,42.16,30.86,35.92,43.89,62.35,62.35,62.35,62.35,39.18,41.65,41.65,41.65,63.32,29.87,62.35,63.32,44.66
038,24.25,16.72,7.68,17.36,17.41,17.36,17.91,18.58,19.06,16.58,16.98,17.78,13.71,11.74,3.06,12.35,2.0,11.8,6.16,14.38,12.65,8.85,19.37,30.4,4.47,7.13,26.25,21.37,26.3,16.91,23.83,23.02,24.85,24.85,29.42,29.11,22.83,19.42,7.39,8.19,26.85,34.04,21.73,25.25,21.17,5.04,15.49,17.41,23.65,36.48,23.07,31.95,16.49,55.04,16.58,24.85,29.74,23.74,9.02,10.15,17.78,17.78,9.41,9.35,17.78,17.78,37.68,13.51,11.73,19.51,55.04,12.65,55.04,6.28,7.07,3.26,3.97,9.02,9.02,36.48,36.48,23.06,25.03,30.08,18.78,23.84,31.8,55.04,55.04,55.04,55.04,27.09,29.57,29.57,29.57,56.0,17.78,55.04,56.0,37.34
032,21.82,14.29,7.82,15.72,14.98,15.72,15.48,16.94,16.63,14.15,14.54,15.35,11.66,10.84,7.92,16.72,8.53,2.0,6.9,18.75,9.85,7.54,18.32,27.97,8.02,10.9,23.82,18.94,23.87,15.59,21.4,20.59,22.42,22.42,26.99,26.68,21.94,17.78,10.45,7.29,24.42,31.61,19.3,22.82,18.74,6.7,13.84,14.98,21.22,34.05,20.64,29.52,15.17,53.55,14.15,22.42,27.31,21.31,10.32,9.26,15.35,15.35,13.78,6.92,15.35,15.35,36.55,12.78,12.8,15.06,53.55,13.95,53.55,11.92,6.73,7.85,8.34,10.32,10.32,34.05,34.05,20.62,22.6,27.65,16.35,21.41,29.37,53.55,53.55,53.55,53.55,24.66,27.14,27.14,27.14,54.52,15.35,53.55,54.52,35.86
034,21.6,13.85,3.52,13.96,14.55,13.96,15.04,15.18,15.9,13.71,14.11,15.14,12.0,12.31,4.06,11.82,4.77,9.34,2.0,13.85,10.19,5.45,15.45,27.75,3.12,3.81,23.61,18.72,23.65,13.13,21.19,20.37,22.21,22.21,26.77,26.47,22.53,15.99,11.15,8.76,24.2,31.4,18.86,22.61,18.3,6.94,12.08,14.55,21.0,33.32,19.91,29.3,12.71,51.11,13.71,22.21,27.09,21.09,5.7,10.73,15.14,15.14,8.89,6.9,15.14,15.14,36.34,9.58,8.41,16.97,51.11,9.33,51.11,10.05,4.62,4.29,5.82,5.7,5.7,33.32,33.32,20.41,22.38,27.43,16.13,21.19,29.16,51.11,51.11,51.11,51.11,24.45,26.92,26.92,26.92,52.08,15.14,51.11,52.08,33.42
302,39.38,31.63,21.3,31.74,32.33,31.74,32.82,32.96,33.69,31.49,31.89,32.92,29.78,29.34,19.51,5.05,20.57,27.12,19.78,2.0,27.98,23.23,33.0,45.53,18.1,20.75,41.39,36.51,41.44,30.86,38.97,38.16,39.99,39.99,44.55,44.25,40.31,33.54,24.99,25.79,41.98,49.18,36.64,40.39,36.09,21.63,29.87,32.33,38.78,49.14,35.74,47.08,30.44,65.4,31.49,39.99,44.88,38.87,22.64,27.75,32.92,32.92,15.18,24.68,32.92,32.92,54.12,27.13,25.36,21.58,65.4,21.73,65.4,24.46,22.4,19.85,22.15,22.64,22.64,49.14,49.14,38.19,40.17,45.21,33.91,38.97,46.94,65.4,65.4,65.4,65.4,42.23,44.7,44.7,44.7,66.37,32.92,65.4,66.37,47.71
026,15.34,9.03,6.45,10.96,9.72,10.96,10.22,12.1,11.37,8.67,9.29,8.32,3.81,4.63,8.49,17.28,9.1,7.24,7.46,19.32,2.0,5.44,13.57,21.49,8.59,7.43,17.34,12.46,17.39,10.93,14.92,14.11,15.94,15.94,20.51,20.2,15.71,13.02,8.31,6.21,17.94,25.13,13.35,16.34,13.26,7.27,9.09,9.72,14.74,28.79,15.38,23.04,10.51,48.29,8.67,15.94,20.83,14.83,7.04,5.05,8.32,8.32,14.35,4.2,8.32,8.32,30.07,6.08,8.7,14.56,48.29,9.46,48.29,9.3,5.72,8.42,9.03,7.04,7.04,28.79,28.79,14.14,16.12,21.17,9.87,14.93,22.89,48.29,48.29,48.29,48.29,18.18,20.66,20.66,20.66,49.26,8.32,48.29,49.26,30.6
056,18.15,10.4,3.29,10.51,11.09,10.51,11.59,11.73,12.45,10.26,10.66,11.68,8.97,10.5,5.95,14.12,6.57,5.69,4.3,16.16,7.16,2.0,13.11,24.3,5.42,4.42,20.16,15.27,20.2,10.05,17.74,16.92,18.75,18.75,23.32,23.01,19.08,12.57,7.4,5.3,20.75,27.95,15.41,19.15,14.85,4.74,8.63,11.09,17.55,29.86,16.46,25.85,9.63,48.77,10.26,18.75,23.64,17.64,4.03,8.92,11.68,11.68,11.19,4.54,11.68,11.68,32.89,7.25,7.53,11.55,48.77,6.45,48.77,8.39,3.19,5.89,7.62,4.03,4.03,29.86,29.86,16.96,18.93,23.98,12.68,17.74,25.71,48.77,48.77,48.77,48.77,21.0,23.47,23.47,23.47,49.74,11.68,48.77,49.74,31.08
010-1,13.52,7.06,9.95,4.61,8.58,4.61,5.72,3.84,4.57,9.14,8.34,12.07,10.92,12.34,12.88,20.63,13.58,12.88,10.96,22.67,9.71,9.41,2.0,19.67,11.93,10.16,14.66,10.65,14.71,5.11,15.34,13.95,16.43,16.43,17.83,17.52,18.94,2.54,14.6,12.5,15.26,23.32,9.65,14.17,9.1,12.15,4.99,8.58,15.23,21.41,8.0,21.22,4.83,37.66,9.14,16.43,18.15,13.01,9.77,12.77,12.07,12.07,15.62,9.6,12.07,12.07,28.26,5.91,11.43,12.76,37.66,12.19,37.66,15.58,10.59,13.1,14.64,9.77,9.77,21.41,21.41,12.33,13.94,18.49,12.27,12.71,21.08,37.66,37.66,37.66,37.66,15.51,17.98,17.98,17.98,38.63,12.07,37.66,38.63,19.97
058,6.1,12.68,18.15,13.25,11.94,13.25,11.39,12.56,12.07,11.58,11.91,15.05,14.05,16.0,20.32,28.99,20.93,19.31,19.17,31.02,14.99,16.87,13.78,2.0,20.29,18.81,9.17,8.02,8.41,14.3,9.95,9.02,10.86,10.86,9.59,6.85,7.63,13.42,19.29,17.19,7.23,5.83,8.68,7.31,9.05,19.1,13.93,11.94,10.11,10.0,11.12,3.74,14.02,52.05,11.58,10.86,7.27,8.39,18.42,15.88,15.05,15.05,26.05,16.03,15.05,15.05,10.77,14.64,20.07,23.32,52.05,20.84,52.05,20.28,17.55,20.25,20.01,18.42,18.42,10.0,10.0,8.74,7.54,7.25,11.98,8.63,3.59,52.05,52.05,52.05,52.05,9.73,9.03,9.03,9.03,53.02,15.05,52.05,53.02,34.36
044-1,23.28,15.54,5.21,15.64,16.23,15.64,16.73,16.86,17.59,15.4,15.79,16.82,13.69,13.82,2.94,10.7,3.65,11.03,3.68,12.73,11.88,7.14,16.9,29.44,2.0,4.66,25.29,20.41,25.34,14.77,22.87,22.06,23.89,23.89,28.45,28.15,24.21,17.45,9.47,10.27,25.89,33.08,20.55,24.29,19.99,5.53,13.77,16.23,22.69,35.0,21.6,30.98,14.35,52.56,15.4,23.89,28.78,22.78,6.55,12.24,16.82,16.82,7.76,8.58,16.82,16.82,38.02,11.04,9.26,17.04,52.56,10.18,52.56,8.37,6.3,3.75,6.05,6.55,6.55,35.0,35.0,22.09,24.07,29.11,17.81,22.88,30.84,52.56,52.56,52.56,52.56,26.13,28.61,28.61,28.61,53.53,16.82,52.56,53.53,34.87
035,21.06,13.13,5.08,13.24,13.83,13.24,14.32,14.46,15.18,12.99,13.39,14.6,11.96,13.87,4.71,12.47,5.42,7.94,3.2,14.5,10.15,5.63,14.25,27.21,3.77,2.0,23.07,18.19,23.12,12.11,20.65,19.84,21.67,21.67,26.23,25.93,21.99,14.79,12.13,10.32,23.67,30.86,18.14,22.07,17.58,6.12,11.36,13.83,20.46,32.6,19.19,28.76,11.69,49.91,12.99,21.67,26.56,20.55,3.89,12.29,14.6,14.6,9.53,7.89,14.6,14.6,35.8,8.38,6.6,10.78,49.91,7.52,49.91,11.02,6.18,4.94,6.47,3.89,3.89,32.6,32.6,19.87,21.85,26.89,15.59,20.66,28.62,49.91,49.91,49.91,49.91,23.91,26.38,26.38,26.38,50.88,14.6,49.91,50.88,32.22
049,6.91,9.63,15.39,9.91,8.6,9.91,8.05,9.22,8.73,8.82,9.02,12.44,11.29,13.24,17.56,26.23,18.17,16.55,16.41,28.26,12.23,14.1,10.44,12.76,17.53,16.05,2.0,5.26,4.56,11.25,8.09,7.16,9.01,9.01,7.67,7.37,16.34,10.08,17.07,14.97,5.11,16.41,5.65,5.57,5.71,16.34,10.88,8.6,9.08,20.57,7.78,14.31,10.97,47.04,8.82,9.01,8.0,6.54,15.66,13.66,12.44,12.44,22.84,13.27,12.44,12.44,21.35,11.85,17.31,19.98,47.04,18.08,47.04,18.06,14.79,17.49,17.79,15.66,15.66,20.57,20.57,4.95,5.91,8.33,9.22,3.61,14.17,47.04,47.04,47.04,47.04,3.67,7.83,7.83,7.83,48.01,12.44,47.04,48.01,29.35
055,4.88,6.66,12.13,7.23,5.92,7.23,5.37,6.54,6.05,5.57,5.89,9.19,8.04,9.98,14.3,22.97,14.91,13.29,13.15,25.0,8.97,10.85,7.76,11.03,14.27,12.79,6.88,2.0,6.93,8.28,6.7,5.3,6.04,6.04,10.05,9.74,11.89,7.4,13.82,11.72,7.48,14.67,2.66,5.88,3.03,13.08,7.91,5.92,8.17,18.84,5.1,12.58,8.0,43.02,5.57,6.04,10.37,4.37,12.4,10.41,9.19,9.19,20.03,10.01,9.19,9.19,19.61,8.62,14.06,17.3,43.02,14.82,43.02,14.8,11.53,14.23,14.53,12.4,12.4,18.84,18.84,3.69,5.66,10.71,5.96,4.47,12.43,43.02,43.02,43.02,43.02,7.72,10.2,10.2,10.2,43.99,9.19,43.02,43.99,25.33
